codebook_index,density,count
134,6.906096425680734e-06,5
135,0.0001823209456379714,132
136,0.0003162992162961776,229
137,0.00021132655062583046,153
138,0.0009350854560371713,677
139,2.7624385702722935e-06,2
140,0.0001091163235257556,79
141,1.3812192851361468e-06,1
142,0.0006464106254437167,468
143,0.0009723783767358474,704
144,1.657463142163376e-05,12
145,9.806656924466642e-05,71
146,8.011071853789652e-05,58
147,2.7624385702722935e-06,2
148,0.0004834267497976514,350
149,0.00062016745902613,449
150,1.9337069991906054e-05,14
151,0.00022651996276232806,164
152,4.14365785540844e-06,3
153,0.00012569095494738936,91
154,0.0007582893875397445,549
155,0.00026657532203127633,193
156,0.00105387031455888,763
157,3.5911701413539814e-05,26
158,4.14365785540844e-05,30
159,1.7955850706769907e-05,13
160,0.00019337069991906056,140
161,4.14365785540844e-06,3
162,2.7624385702722935e-06,2
163,0.0006367420904477637,461
164,0.00018646460349337982,135
165,6.629852568653504e-05,48
166,0.0013743131887104661,995
167,0.0005966867311788154,432
168,0.0010856383581170114,786
169,2.624316641758679e-05,19
170,0.0006243111168815383,452
171,0.0002900560498785908,210
172,2.7624385702722935e-06,2
174,5.524877140544587e-06,4
175,0.00034116116342862825,247
176,0.0004254155398219332,308
177,0.0002983433655894077,216
178,1.1049754281089174e-05,8
179,0.00023756971704341724,172
180,0.00010082900781493871,73
182,0.00017817728778256293,129
183,0.0010953068931129643,793
184,5.8011209975718166e-05,42
185,6.215486783112661e-05,45
186,1.9337069991906054e-05,14
187,0.00018646460349337982,135
188,5.524877140544587e-06,4
189,9.668534995953028e-05,70
190,2.7624385702722936e-05,20
191,0.00019889557705960514,144
192,0.0002127077699109666,154
193,0.00011464120066630019,83
194,0.00029281848844886314,212
195,0.0001450280249392954,105
197,1.3812192851361468e-05,10
199,5.939242926085431e-05,43
200,0.00016436509493120147,119
202,7.458584139735193e-05,54
203,9.806656924466642e-05,71
204,3.867413998381211e-05,28
205,1.1049754281089174e-05,8
206,0.0003328738477178114,241
207,1.2430973566225321e-05,9
208,0.0005248633283517358,380
209,9.944778852980257e-05,72
210,8.28731571081688e-05,60
211,1.657463142163376e-05,12
212,0.00016298387564606532,118
213,3.314926284326752e-05,24
216,3.314926284326752e-05,24
