codebook_index,density,count
303,0.00030662890107320117,118
304,0.00020008835070030922,77
305,1.8189850063664474e-05,7
306,0.00014032170049112596,54
307,6.23652002182782e-05,24
308,0.00015851155055479044,61
309,0.00012732895044565134,49
310,2.598550009094925e-06,1
311,0.001179741704129096,454
312,0.00010913910038198685,42
313,0.001967102356884858,757
314,2.598550009094925e-06,1
315,1.03942000363797e-05,4
316,0.00010654055037289192,41
317,3.378115011823403e-05,13
318,8.31536002910376e-05,32
319,7.795650027284775e-05,30
320,5.19710001818985e-06,2
321,5.19710001818985e-06,2
322,0.00017150430060026506,66
323,8.835070030922746e-05,34
324,0.0010004417535015462,385
325,0.0006600317023101109,254
326,1.8189850063664474e-05,7
327,4.9372450172803576e-05,19
328,0.0006704259023464907,258
329,3.11826001091391e-05,12
330,7.795650027284775e-06,3
331,0.00012992750045474625,50
332,0.00039757815139152355,153
333,7.27594002546579e-05,28
334,0.00040017670140061844,154
335,0.0006340462022191618,244
336,5.4569550190993424e-05,21
337,2.598550009094925e-06,1
338,0.0007873606527557623,303
339,0.00012732895044565134,49
340,8.835070030922746e-05,34
343,0.00033521295117324535,129
344,2.3386950081854325e-05,9
346,0.00017929995062754983,69
347,0.0003663955512823844,141
348,0.0003222202011277707,124
350,0.00036899410129147937,142
351,2.07884000727594e-05,8
352,1.2992750045474626e-05,5
353,0.0001974898006912143,76
354,5.19710001818985e-06,2
355,0.00024686225086401785,95
356,0.00019489125068211936,75
357,0.0012654938544292285,487
358,0.00010654055037289192,41
359,0.001912532806693865,736
360,4.417535015461373e-05,17
361,1.8189850063664474e-05,7
362,0.00016370865057298027,63
363,0.0006678273523373958,257
364,1.2992750045474626e-05,5
365,1.8189850063664474e-05,7
366,0.00010654055037289192,41
367,0.00032741730114596053,126
368,1.559130005456955e-05,6
369,0.0001455188005093158,56
370,0.0009276823532468882,357
371,0.000452147701582517,174
372,0.0003040303510641062,117
373,0.0003404100511914352,131
374,0.0001351246004729361,52
376,4.677390016370865e-05,18
378,5.1971000181898504e-05,20
379,4.15768001455188e-05,16
380,2.598550009094925e-06,1
381,0.0010550113036925397,406
382,1.03942000363797e-05,4
384,0.0012654938544292285,487
386,1.8189850063664474e-05,7
387,0.00020788400072759401,80
388,3.11826001091391e-05,12
389,0.00020268690070940416,78
390,5.4569550190993424e-05,21
393,0.0006340462022191618,244
394,0.00011173765039108178,43
395,0.00010913910038198685,42
396,7.795650027284775e-05,30
398,0.00052230855182808,201
400,5.19710001818985e-06,2
401,0.00012992750045474625,50
402,0.00012732895044565134,49
404,4.9372450172803576e-05,19
405,0.0001143362004001767,44
406,7.27594002546579e-05,28
407,0.0003170231011095809,122
408,6.23652002182782e-05,24
411,0.0005404984018917444,208
412,2.07884000727594e-05,8
413,9.614635033651223e-05,37
414,1.559130005456955e-05,6
415,5.4569550190993424e-05,21
417,0.00020528545071849907,79
418,0.0011927344541745705,459
419,0.000311826001091391,120
420,7.795650027284775e-05,30
421,5.19710001818985e-06,2
422,3.11826001091391e-05,12
423,0.0005456955019099343,210
424,0.0002832419509913468,109
425,4.9372450172803576e-05,19
427,0.00039238105137333367,151
428,0.0002546579008913027,98
429,6.756230023646805e-05,26
430,2.5985500090949252e-05,10
431,2.598550009094925e-06,1
432,0.000278044850973157,107
433,0.0003170231011095809,122
434,2.3386950081854325e-05,9
435,0.0016033053556115688,617
436,6.496375022737313e-05,25
437,3.8978250136423874e-05,15
438,3.637970012732895e-05,14
439,0.0012706909544474183,489
440,5.716810020008835e-05,22
441,0.0001663072005820752,64
442,0.00021048255073668893,81
443,0.00023127095080944832,89
444,0.0002260738507912585,87
445,0.0005015201517553205,193
446,0.00010654055037289192,41
449,6.23652002182782e-05,24
450,0.0011875373541563807,457
451,4.9372450172803576e-05,19
452,0.0005456955019099343,210
453,9.35478003274173e-05,36
455,0.00018969415066392954,73
456,0.00023646805082763817,91
457,2.598550009094925e-06,1
458,7.016085024556298e-05,27
460,0.0007691708026920978,296
461,7.016085024556298e-05,27
462,0.0001870956006548346,72
463,0.0008211418028739963,316
464,2.3386950081854325e-05,9
465,7.795650027284775e-06,3
466,0.0008289374529012811,319
467,0.0004937245017280357,190
468,0.00016890575059117012,65
469,0.0005171114518098901,199
470,4.417535015461373e-05,17
471,0.0007457838526102434,287
472,1.559130005456955e-05,6
473,6.756230023646805e-05,26
474,1.2992750045474626e-05,5
475,0.00014032170049112596,54
476,4.417535015461373e-05,17
477,0.00021567965075487878,83
478,0.0010212301535743055,393
479,0.00010654055037289192,41
481,0.0005586882519554089,215
482,0.000761375152664813,293
483,0.00010913910038198685,42
484,2.598550009094925e-06,1
485,0.00038978250136423873,150
486,0.0008159447028558064,314
487,1.03942000363797e-05,4
488,4.9372450172803576e-05,19
489,0.0024686225086401788,950
490,0.0001974898006912143,76
491,0.0009744562534105969,375
492,0.00038718395135514384,149
495,3.8978250136423874e-05,15
496,0.00012732895044565134,49
497,0.00015071590052750564,58
498,0.00010134345035470208,39
499,0.00017929995062754983,69
500,0.00016890575059117012,65
501,0.0005976665020918328,230
502,0.00022347530078216355,86
503,8.31536002910376e-05,32
505,0.0010939895538289634,421
506,0.00014032170049112596,54
507,0.0007042070524647247,271
508,0.0006964114024374399,268
509,0.0004651404516279916,179
510,2.8584050100044176e-05,11
512,0.00010394200036379701,40
513,0.0011927344541745705,459
515,3.8978250136423874e-05,15
516,0.0002260738507912585,87
517,1.8189850063664474e-05,7
518,0.0004339578515188525,167
519,2.598550009094925e-06,1
520,0.00017670140061845491,68
521,8.055505028194268e-05,31
